quxian_url,shangquan,start_url
http://fangjia.fang.com/pghouse-c0sh/a027-h315/,阳城,http://fangjia.fang.com//pghouse-c0sh/a027-b05259-h315/
http://fangjia.fang.com/pghouse-c0sh/a027-h315/,永和,http://fangjia.fang.com//pghouse-c0sh/a027-b05277-h315/
http://fangjia.fang.com/pghouse-c0sh/a027-h315/,闸北公园,http://fangjia.fang.com//pghouse-c0sh/a027-b03936-h315/
http://fangjia.fang.com/pghouse-c0sh/a026-h315/,鞍山,http://fangjia.fang.com//pghouse-c0sh/a026-b05255-h315/
http://fangjia.fang.com/pghouse-c0sh/a026-h315/,东外滩,http://fangjia.fang.com//pghouse-c0sh/a026-b01648-h315/
http://fangjia.fang.com/pghouse-c0sh/a026-h315/,黄兴公园,http://fangjia.fang.com//pghouse-c0sh/a026-b01650-h315/
http://fangjia.fang.com/pghouse-c0sh/a026-h315/,控江路,http://fangjia.fang.com//pghouse-c0sh/a026-b010350-h315/
http://fangjia.fang.com/pghouse-c0sh/a026-h315/,五角场,http://fangjia.fang.com//pghouse-c0sh/a026-b01647-h315/
http://fangjia.fang.com/pghouse-c0sh/a026-h315/,新江湾城,http://fangjia.fang.com//pghouse-c0sh/a026-b01651-h315/
http://fangjia.fang.com/pghouse-c0sh/a026-h315/,杨浦大桥,http://fangjia.fang.com//pghouse-c0sh/a026-b012971-h315/
http://fangjia.fang.com/pghouse-c0sh/a026-h315/,中原,http://fangjia.fang.com//pghouse-c0sh/a026-b01652-h315/
http://fangjia.fang.com/pghouse-c0sh/a026-h315/,周家嘴路,http://fangjia.fang.com//pghouse-c0sh/a026-b01649-h315/
http://fangjia.fang.com/pghouse-c0sh/a023-h315/,北外滩,http://fangjia.fang.com//pghouse-c0sh/a023-b0121-h315/
http://fangjia.fang.com/pghouse-c0sh/a023-h315/,江湾镇,http://fangjia.fang.com//pghouse-c0sh/a023-b05257-h315/
http://fangjia.fang.com/pghouse-c0sh/a023-h315/,凉城,http://fangjia.fang.com//pghouse-c0sh/a023-b05256-h315/
http://fangjia.fang.com/pghouse-c0sh/a023-h315/,临平路,http://fangjia.fang.com//pghouse-c0sh/a023-b02974-h315/
http://fangjia.fang.com/pghouse-c0sh/a023-h315/,鲁迅公园,http://fangjia.fang.com//pghouse-c0sh/a023-b01629-h315/
http://fangjia.fang.com/pghouse-c0sh/a023-h315/,曲阳,http://fangjia.fang.com//pghouse-c0sh/a023-b01627-h315/
http://fangjia.fang.com/pghouse-c0sh/a023-h315/,四川北路,http://fangjia.fang.com//pghouse-c0sh/a023-b01628-h315/
http://fangjia.fang.com/pghouse-c0sh/a022-h315/,打浦桥,http://fangjia.fang.com//pghouse-c0sh/a022-b01626-h315/
http://fangjia.fang.com/pghouse-c0sh/a022-h315/,淮海中路,http://fangjia.fang.com//pghouse-c0sh/a022-b05241-h315/
http://fangjia.fang.com/pghouse-c0sh/a022-h315/,世博滨江,http://fangjia.fang.com//pghouse-c0sh/a022-b05243-h315/
http://fangjia.fang.com/pghouse-c0sh/a022-h315/,五里桥,http://fangjia.fang.com//pghouse-c0sh/a022-b05242-h315/
http://fangjia.fang.com/pghouse-c0sh/a022-h315/,新天地,http://fangjia.fang.com//pghouse-c0sh/a022-b01625-h315/
http://fangjia.fang.com/pghouse-c0sh/a031-h315/,白鹤,http://fangjia.fang.com//pghouse-c0sh/a031-b07307-h315/
http://fangjia.fang.com/pghouse-c0sh/a031-h315/,华新,http://fangjia.fang.com//pghouse-c0sh/a031-b013079-h315/
http://fangjia.fang.com/pghouse-c0sh/a031-h315/,青浦城区,http://fangjia.fang.com//pghouse-c0sh/a031-b05263-h315/
http://fangjia.fang.com/pghouse-c0sh/a031-h315/,徐泾,http://fangjia.fang.com//pghouse-c0sh/a031-b01681-h315/
http://fangjia.fang.com/pghouse-c0sh/a031-h315/,重固,http://fangjia.fang.com//pghouse-c0sh/a031-b07308-h315/
http://fangjia.fang.com/pghouse-c0sh/a031-h315/,朱家角,http://fangjia.fang.com//pghouse-c0sh/a031-b01684-h315/
http://fangjia.fang.com/pghouse-c0sh/a031-h315/,赵巷,http://fangjia.fang.com//pghouse-c0sh/a031-b07309-h315/
http://fangjia.fang.com/pghouse-c0sh/a021-h315/,曹家渡,http://fangjia.fang.com//pghouse-c0sh/a021-b01624-h315/
http://fangjia.fang.com/pghouse-c0sh/a021-h315/,江宁路,http://fangjia.fang.com//pghouse-c0sh/a021-b05244-h315/
http://fangjia.fang.com/pghouse-c0sh/a021-h315/,静安寺,http://fangjia.fang.com//pghouse-c0sh/a021-b01622-h315/
http://fangjia.fang.com/pghouse-c0sh/a021-h315/,南京西路,http://fangjia.fang.com//pghouse-c0sh/a021-b01623-h315/
http://fangjia.fang.com/pghouse-c0sh/a0996-h315/,堡镇,http://fangjia.fang.com//pghouse-c0sh/a0996-b010706-h315/
http://fangjia.fang.com/pghouse-c0sh/a0996-h315/,长兴岛,http://fangjia.fang.com//pghouse-c0sh/a0996-b010707-h315/
http://fangjia.fang.com/pghouse-c0sh/a0996-h315/,崇明其他,http://fangjia.fang.com//pghouse-c0sh/a0996-b021929-h315/
http://fangjia.fang.com/pghouse-c0sh/a0996-h315/,南门,http://fangjia.fang.com//pghouse-c0sh/a0996-b021928-h315/
http://fangjia.fang.com/pghouse-c0sh/a0996-h315/,新河,http://fangjia.fang.com//pghouse-c0sh/a0996-b021927-h315/
http://fangjia.fang.com/pghouse-c0sh/a01046-h315/,湖州,http://fangjia.fang.com//pghouse-c0sh/a01046-b022343-h315/
http://fangjia.fang.com/pghouse-c0sh/a01046-h315/,嘉兴,http://fangjia.fang.com//pghouse-c0sh/a01046-b014447-h315/
http://fangjia.fang.com/pghouse-c0sh/a01046-h315/,昆山,http://fangjia.fang.com//pghouse-c0sh/a01046-b014446-h315/
http://fangjia.fang.com/pghouse-c0sh/a01046-h315/,其他,http://fangjia.fang.com//pghouse-c0sh/a01046-b014448-h315/
http://fangjia.fang.com/pghouse-c0sh/a01046-h315/,苏州,http://fangjia.fang.com//pghouse-c0sh/a01046-b014445-h315/
http://fangjia.fang.com/pghouse-c0sh/a024-h315/,董家渡,http://fangjia.fang.com//pghouse-c0sh/a024-b01631-h315/
http://fangjia.fang.com/pghouse-c0sh/a024-h315/,黄浦滨江,http://fangjia.fang.com//pghouse-c0sh/a024-b05237-h315/
http://fangjia.fang.com/pghouse-c0sh/a024-h315/,老西门,http://fangjia.fang.com//pghouse-c0sh/a024-b01630-h315/
http://fangjia.fang.com/pghouse-c0sh/a024-h315/,南京东路,http://fangjia.fang.com//pghouse-c0sh/a024-b05240-h315/
http://fangjia.fang.com/pghouse-c0sh/a024-h315/,蓬莱公园,http://fangjia.fang.com//pghouse-c0sh/a024-b05238-h315/
http://fangjia.fang.com/pghouse-c0sh/a024-h315/,人民广场,http://fangjia.fang.com//pghouse-c0sh/a024-b05239-h315/
http://fangjia.fang.com/pghouse-c0sh/a024-h315/,豫园,http://fangjia.fang.com//pghouse-c0sh/a024-b01632-h315/
http://fangjia.fang.com/pghouse-c0sh/a035-h315/,枫泾,http://fangjia.fang.com//pghouse-c0sh/a035-b012974-h315/
http://fangjia.fang.com/pghouse-c0sh/a035-h315/,金山其他,http://fangjia.fang.com//pghouse-c0sh/a035-b02160-h315/
http://fangjia.fang.com/pghouse-c0sh/a035-h315/,金山新城,http://fangjia.fang.com//pghouse-c0sh/a035-b07457-h315/
http://fangjia.fang.com/pghouse-c0sh/a035-h315/,石化,http://fangjia.fang.com//pghouse-c0sh/a035-b07458-h315/
http://fangjia.fang.com/pghouse-c0sh/a035-h315/,亭林,http://fangjia.fang.com//pghouse-c0sh/a035-b07459-h315/
http://fangjia.fang.com/pghouse-c0sh/a035-h315/,朱泾,http://fangjia.fang.com//pghouse-c0sh/a035-b07460-h315/
http://fangjia.fang.com/pghouse-c0sh/a032-h315/,奉城,http://fangjia.fang.com//pghouse-c0sh/a032-b07367-h315/
http://fangjia.fang.com/pghouse-c0sh/a032-h315/,奉贤其他,http://fangjia.fang.com//pghouse-c0sh/a032-b03949-h315/
http://fangjia.fang.com/pghouse-c0sh/a032-h315/,海湾,http://fangjia.fang.com//pghouse-c0sh/a032-b07368-h315/
http://fangjia.fang.com/pghouse-c0sh/a032-h315/,海湾旅游区,http://fangjia.fang.com//pghouse-c0sh/a032-b07454-h315/
http://fangjia.fang.com/pghouse-c0sh/a032-h315/,金汇镇,http://fangjia.fang.com//pghouse-c0sh/a032-b013943-h315/
http://fangjia.fang.com/pghouse-c0sh/a032-h315/,南桥,http://fangjia.fang.com//pghouse-c0sh/a032-b07369-h315/
http://fangjia.fang.com/pghouse-c0sh/a032-h315/,西渡,http://fangjia.fang.com//pghouse-c0sh/a032-b012973-h315/
http://fangjia.fang.com/pghouse-c0sh/a032-h315/,柘林,http://fangjia.fang.com//pghouse-c0sh/a032-b012972-h315/
http://fangjia.fang.com/pghouse-c0sh/a032-h315/,庄行,http://fangjia.fang.com//pghouse-c0sh/a032-b07456-h315/
